country,electricity consumption,land area,consumption over land area
Panama,8202000000,74340,110330.912025827
Papua New Guinea,1015000000,452860,2241.31078037363
Paraguay,10470000000,397302,26352.7492939879
Peru,40930000000,1279996,31976.6624270701
Philippines,77790000000,298170,260891.437770399
Poland,141300000000,304255,464413.074559169
Portugal,47030000000,91470,514157.64731606
Puerto Rico,18880000000,8959,2107378.05558656
Qatar,36530000000,11586,3152943.20731918
Romania,48280000000,229891,210012.571175035
Russia,890100000000,16377742,54348.1512897199
Rwanda,644000000,24668,26106.6969353008
Saint Kitts and Nevis,193400000,261,740996.168582376
Saint Lucia,332900000,606,549339.933993399
Saint Pierre and Miquelon,43710000,242,180619.834710744
Saint Vincent and the Grenadines,144200000,389,370694.087403599
Samoa,118100000,2821,41864.5870258773
Sao Tome and Principe,61380000,964,63672.1991701245
Saudi Arabia,292800000000,2149690,136205.685470928
Senegal,3014000000,192530,15654.7031631434
Serbia,26780000000,77474,345664.351911609
Seychelles,365900000,455,804175.824175824
Sierra Leone,162800000,71620,2273.1080703714
Singapore,48630000000,709.2,68570219.9661591
Slovakia,25870000000,48105,537781.935349756
Slovenia,16560000000,20151,821795.444394819
Solomon Islands,83700000,27986,2990.78110483813
Somalia,319900000,627337,509.933257563319
South Africa,207700000000,1214470,171021.103856003
South Sudan,0,644329,0
Spain,240400000000,498980,481782.836987454
Sri Lanka,11720000000,64630,181339.935014699
Sudan,10260000000,1861484,5511.73150024389
Suriname,1948000000,156000,12487.1794871795
Sweden,125400000000,410335,305603.957741845
Switzerland,58450000000,39997,1461359.60197015
Syria,13960000000,183630,76022.4364210641
Taiwan,255300000000,32260,7913825.17048977
Tajikistan,12940000000,141510,91442.3008974631
Tanzania,4976000000,885800,5617.52088507564
Thailand,168300000000,510890,329425.120867506
Timor-Leste,0,14874,0
Togo,1213000000,54385,22303.9441022341
Tonga,46500000,717,64853.5564853557
Trinidad and Tobago,9461000000,5128,1844968.79875195
Tunisia,15120000000,155360,97322.3480947477
Turkey,213200000000,769632,277015.508710657
Turkmenistan,15090000000,469930,32111.165492733
Turks and Caicos Islands,204600000,948,215822.784810127
Uganda,2936000000,197100,14895.9918822933
Ukraine,133400000000,579330,230265.996927485
United Arab Emirates,110600000000,83600,1322966.50717703
United Kingdom,301600000000,241930,1246641.59054272
United States,3911000000000,9147593,427544.163803527
Uruguay,9420000000,175015,53823.9579464617
Uzbekistan,48000000000,425400,112834.978843441
Vanuatu,68060000,12189,5583.72302896054
Venezuela,73990000000,882050,83884.1335525197
Vietnam,182900000000,310070,589866.804270004
Virgin Islands,117200000,346,338728.323699422
West Bank,5845000000,5640,1036347.5177305
Western Sahara,0,266000,0
Yemen,3634000000,527968,6882.99290866113
Zambia,11620000000,743398,15630.9271749453
Zimbabwe,7630000000,386847,19723.5599603978
